# Standardized log format: [timestamp] [LEVEL] [component] message
# Remove obsolete error tracebacks and ensure all entries are timestamped and structured
2025-05-20 04:38:49,637 - INFO - SentimentBot - Initializing SentimentBot
2025-05-20 04:45:21,677 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:23,517 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:23,715 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:25,545 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:25,743 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:27,575 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:27,770 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:29,604 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:29,832 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:31,633 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:31,860 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:33,663 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:33,917 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:35,695 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:35,950 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:37,723 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:37,977 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:39,779 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:40,008 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:41,817 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:42,037 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:43,848 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:44,067 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:45,910 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:46,094 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:47,941 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:48,125 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:49,969 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:50,164 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:51,997 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:52,192 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:54,025 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:56,088 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:56,256 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:58,115 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:45:58,286 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:00,145 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:00,321 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:02,174 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:02,357 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:04,201 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:04,386 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:06,232 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:06,418 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:08,266 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:08,448 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:10,298 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:10,475 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:12,329 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:12,506 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:14,360 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:14,538 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:16,394 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:16,567 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:18,430 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:18,598 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:20,483 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:20,629 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:22,513 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:22,659 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:24,550 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:24,690 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:26,580 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:26,721 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:28,612 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:28,750 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:30,576 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:32,605 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:34,638 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:36,666 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:38,696 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:40,728 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:42,790 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:44,841 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:46,875 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:48,903 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:50,932 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:52,961 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:54,990 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:57,017 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:46:59,068 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:51:56,415 - INFO - SentimentBot - Initializing SentimentBot
2025-05-20 04:51:56,458 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:51:58,488 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:00,518 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:02,548 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:04,582 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:06,609 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:08,637 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:10,665 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:12,692 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:14,720 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:16,780 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:18,809 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:20,836 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:22,867 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
2025-05-20 04:52:24,937 - INFO - SentimentBot - Sentiment analysis for bitcoin: HOLD (score: 0.59, change: -0.01)
